consec_pts,threshold,above,below
50,1e-05,281,44108
50,0.0001,1924,76788
50,0.001,21923,406594
50,0.01,262623,1176218
50,0.1,1724739,1799246
70,1e-05,103,39694
70,0.0001,1097,65680
70,0.001,15269,358880
70,0.01,171481,1125220
70,0.1,1679111,1738526
90,1e-05,67,36294
90,0.0001,718,58915
90,0.001,10948,318115
90,0.01,130483,1076718
90,0.1,1613103,1679159
110,1e-05,14,33517
110,0.0001,459,53112
110,0.001,8152,284002
110,0.01,107138,1029814
110,0.1,1531579,1620280
130,1e-05,14,31019
130,0.0001,288,48711
130,0.001,6334,255155
130,0.01,91469,983808
130,0.1,1440080,1562377
150,1e-05,3,28645
150,0.0001,177,44938
150,0.001,4933,230365
150,0.01,80334,938253
150,0.1,1349707,1505209
170,1e-05,2,26690
170,0.0001,159,44267
170,0.001,3975,209087
170,0.01,72187,894408
170,0.1,1265905,1449052
190,1e-05,2,24712
190,0.0001,129,40069
190,0.001,3261,190150
190,0.01,65276,851447
190,0.1,1187700,1393862
210,1e-05,4,22918
210,0.0001,98,36687
210,0.001,2720,173816
210,0.01,59643,810847
210,0.1,1116572,1340187
230,1e-05,1,21236
230,0.0001,87,33692
230,0.001,2391,159166
230,0.01,55106,771093
230,0.1,1050841,1287535
250,1e-05,0,19751
250,0.0001,80,31019
250,0.001,2029,145612
250,0.01,51107,732840
250,0.1,988842,1236275
